,A549,BREAST_MCF7,BREAST_MCF7ADR,C2C12,CNS_SNB19,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HT29,GAMG,HEK293,HeLa_Kyo,HeLa_S3,HeLa_S3_G,HepG2,Jurkat,K562,LEUK_CCRFCEM,LEUK_SR,LnCap,MCF7,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H322M,NSCLC_H460,NSCLC_HOP92.1,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_RXF393,RENAL_TK10,RENAL_UO31,RKO,U2OS,average,stdev
CRKL,2.0,4.0,4.0,8.0,4.0,4.0,4.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,10.5,3.0,12.5,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,4.0,1.0,1.0,3.5,2.3728537212834455
YES1,5.0,1.0,1.0,6.0,3.0,11.0,2.0,4.0,1.0,4.0,4.0,4.0,6.0,4.0,5.0,11.0,3.0,10.0,12.5,3.0,6.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,10.0,1.0,5.0,1.0,6.0,6.0,4.119565217391305,3.6253707195874947
RASA1,4.0,2.0,5.0,1.0,5.0,3.0,6.0,3.0,2.0,3.0,3.0,5.0,7.0,5.0,4.0,4.0,2.0,4.0,12.5,5.0,4.0,2.0,13.0,4.0,5.0,6.0,4.0,10.5,4.0,3.0,4.0,12.0,3.0,12.5,11.5,11.5,11.5,2.0,3.0,5.0,4.0,6.0,3.0,3.0,3.0,4.0,5.217391304347826,3.2946797923072024
STAT1,13.0,3.0,2.0,4.0,6.0,8.0,5.0,5.0,3.0,16.0,17.0,10.0,4.0,14.5,15.5,17.0,15.0,1.0,1.0,15.0,15.5,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,12.5,16.5,5.858695652173913,5.59761502345871
SHC1,3.0,9.0,8.0,5.0,14.0,6.0,7.0,18.0,13.5,5.0,5.0,2.0,1.0,3.0,7.0,9.0,6.0,3.0,12.5,4.0,3.0,4.0,13.0,7.0,12.5,12.5,11.5,3.0,12.0,12.5,7.0,12.0,11.0,5.0,5.0,11.5,18.0,5.0,6.0,7.0,8.0,9.0,9.0,10.5,2.0,3.0,7.8478260869565215,4.224500954856128
SRC,1.0,11.0,17.0,3.0,1.0,1.0,1.0,1.0,17.0,2.0,2.0,14.5,11.0,2.0,2.0,2.0,4.0,8.0,12.5,2.0,2.0,10.0,13.0,9.0,12.5,12.5,11.5,10.5,12.0,12.5,1.0,18.0,8.0,12.5,11.5,5.0,17.0,12.5,13.0,18.0,11.0,12.0,1.0,10.5,5.0,2.0,8.228260869565217,5.6054190799958805
VAV2,8.0,5.0,6.0,12.0,7.0,9.0,9.0,8.0,8.0,8.0,12.0,3.0,5.0,6.0,3.0,10.0,11.0,7.0,5.0,8.0,5.0,8.0,13.0,13.5,12.5,12.5,11.5,10.5,5.0,5.0,13.0,12.0,4.0,12.5,11.5,11.5,5.0,12.5,5.0,8.0,7.0,8.0,8.0,10.5,4.0,10.0,8.456521739130435,3.067760277318394
PIK3R1,7.0,7.0,7.0,9.0,8.0,7.0,8.0,14.0,7.0,10.0,8.0,14.5,13.0,14.5,6.0,8.0,7.0,9.0,6.0,6.0,11.0,6.0,5.0,6.0,3.0,4.0,3.0,10.5,6.0,12.5,13.0,3.0,6.0,12.5,11.5,3.0,11.5,12.5,8.0,13.5,6.0,5.0,14.0,18.0,18.0,9.0,8.858695652173912,3.8514015566869495
PIK3R2,10.0,8.0,13.0,11.0,14.0,5.0,3.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,15.5,14.0,5.0,2.0,12.5,7.0,8.0,5.0,13.0,8.0,12.5,7.0,11.5,10.5,12.0,12.5,13.0,12.0,7.0,4.0,4.0,11.5,11.5,6.0,4.0,13.5,5.0,7.0,14.0,10.5,8.0,8.0,9.043478260869565,3.402087094322175
NCK2,9.0,16.0,13.0,7.0,14.0,15.5,15.5,9.0,13.5,7.0,6.0,14.5,12.0,14.5,10.0,7.0,15.0,6.0,2.0,9.0,10.0,7.0,4.0,5.0,12.5,3.0,11.5,10.5,12.0,12.5,13.0,12.0,10.0,12.5,11.5,11.5,11.5,12.5,10.0,6.0,3.0,10.0,7.0,10.5,12.5,5.0,10.043478260869565,3.6263319696182292
PLCG2,12.0,6.0,13.0,16.0,14.0,10.0,10.0,10.0,13.5,16.0,7.0,8.0,9.0,9.0,9.0,5.0,9.0,14.0,12.5,10.0,7.0,9.0,13.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,13.0,12.0,2.0,12.5,11.5,11.5,4.0,12.5,9.0,13.5,9.0,11.0,14.0,10.5,7.0,7.0,10.58695652173913,2.998739495742675
ABL2,6.0,16.0,13.0,2.0,2.0,2.0,15.5,2.0,13.5,6.0,10.0,6.0,3.0,14.5,8.0,12.0,10.0,14.0,12.5,15.0,15.5,16.5,13.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,2.0,12.0,16.5,12.5,11.5,11.5,11.5,12.5,17.0,13.5,16.5,16.5,2.0,10.5,12.5,12.0,10.945652173913043,4.529166663043623
ZAP70,16.0,12.0,3.0,16.0,14.0,15.5,15.5,14.0,4.0,16.0,14.0,14.5,17.5,14.5,11.0,3.0,15.0,14.0,4.0,15.0,15.5,12.0,13.0,13.5,12.5,12.5,11.5,10.5,12.0,4.0,13.0,12.0,14.0,12.5,11.5,11.5,11.5,12.5,15.0,4.0,12.0,2.0,14.0,10.5,12.5,16.5,11.967391304347826,3.9801165783574337
SYK,11.0,10.0,13.0,16.0,14.0,15.5,11.0,14.0,6.0,11.0,11.0,14.5,14.0,14.5,15.5,17.0,8.0,14.0,12.5,15.0,9.0,16.5,13.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,13.0,12.0,13.0,12.5,11.5,11.5,11.5,12.5,12.0,13.5,13.0,13.0,14.0,10.5,12.5,11.0,12.565217391304348,2.0867300601767753
PIK3R3,18.0,16.0,9.0,13.0,9.0,15.5,15.5,14.0,18.0,12.0,13.0,9.0,10.0,7.0,15.5,13.0,15.0,18.0,12.5,15.0,15.5,14.0,7.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,13.0,5.0,9.0,12.5,11.5,11.5,11.5,18.0,7.0,13.5,16.5,16.5,14.0,10.5,12.5,16.5,12.793478260869565,3.128717071004819
IRS1,14.0,13.0,18.0,10.0,14.0,12.0,12.0,14.0,10.0,13.0,15.0,14.5,16.0,10.0,12.0,17.0,15.0,14.0,12.5,11.0,12.0,13.0,6.0,18.0,6.0,18.0,18.0,18.0,18.0,6.0,13.0,6.0,16.5,6.0,18.0,18.0,6.0,7.0,14.0,9.0,14.0,14.0,14.0,17.0,17.0,13.0,13.097826086956522,3.811623477597393
ITK,16.0,16.0,13.0,16.0,14.0,15.5,15.5,14.0,13.5,16.0,17.0,14.5,17.5,14.5,15.5,6.0,15.0,14.0,12.5,15.0,15.5,16.5,13.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,13.0,12.0,16.5,12.5,11.5,11.5,11.5,12.5,17.0,13.5,16.5,16.5,14.0,10.5,12.5,16.5,13.891304347826088,2.2334245577584406
BLK,16.0,16.0,13.0,16.0,14.0,15.5,15.5,14.0,13.5,16.0,17.0,14.5,15.0,14.5,15.5,15.0,15.0,14.0,12.5,15.0,15.5,16.5,13.0,13.5,12.5,12.5,11.5,10.5,12.0,12.5,13.0,12.0,16.5,12.5,11.5,11.5,11.5,12.5,17.0,13.5,16.5,16.5,14.0,10.5,12.5,14.0,13.978260869565217,1.8026445601415542
