protein	avgrank	stdrank	numcelllines
ITK	6	0	1
BLK	15	0	2
IRS1	13	1.7728105209	8
PI3KR3	10.3333333333	2.5	9
ZAP70	8.1428571429	5.0208357082	14
SYK	10.9285714286	2.1649048909	14
ABL2	5.6666666667	3.885259077	15
PLCG2	8.0476190476	2.3764719749	21
NCK2	7.1304347826	2.6850486338	23
SHC1	5.5	2.6115129714	26
PI3KR2	7.0769230769	2.5600480765	26
SRC	4.7407407407	4.2389457379	27
PI3KR1	6.7419354839	2.3376304518	31
VAV2	7.09375	2.4144641428	32
STAT1	3.2285714286	2.7016957016	35
RASA1	3.8157894737	1.3326515564	38
CRKL	3.1395348837	1.7124390201	43
YES1	3.8372093023	3.3589272136	43
